  page 1: affichée de 0.0s à 886.4s
  page 2: affichée de 886.4s à 1779.8s
  page 3: affichée de 1779.8s à 2588.2s
  page 4: affichée de 2588.2s à 3223.3s
  page 6: affichée de 3223.3s à 4819.3s
surligneur : 410 événements (mot) -> /home/z/my-project/download/video-recitation/travail_darsi/dars1/surlignage.ass
rendu ffmpeg -> /home/z/my-project/download/video-recitation/sortie/dars1.mp4
frame=   10 fps=0.0 q=25.0 size=       0KiB time=00:00:00.32 bitrate=   1.2kbits/s speed=0.618x    
frame=   60 fps= 59 q=25.0 size=       0KiB time=00:00:02.32 bitrate=   0.2kbits/s speed=2.27x    
frame=  106 fps= 70 q=25.0 size=       0KiB time=00:00:04.16 bitrate=   0.1kbits/s speed=2.73x    
frame=  151 fps= 75 q=25.0 size=       0KiB time=00:00:05.96 bitrate=   0.1kbits/s speed=2.95x    
frame=  199 fps= 79 q=25.0 size=       0KiB time=00:00:07.88 bitrate=   0.0kbits/s speed=3.13x    
frame=  248 fps= 82 q=25.0 size=     256KiB time=00:00:09.84 bitrate= 213.2kbits/s speed=3.26x    
frame=  293 fps= 83 q=25.0 size=     256KiB time=00:00:11.64 bitrate= 180.2kbits/s speed=3.31x    
frame=  339 fps= 84 q=25.0 size=     256KiB time=00:00:13.48 bitrate= 155.6kbits/s speed=3.35x    
frame= 3744 fps= 91 q=25.0 size=    4096KiB time=00:02:29.68 bitrate= 224.2kbits/s speed=3.64x    
frame= 3785 fps= 91 q=25.0 size=    4096KiB time=00:02:31.32 bitrate= 221.7kbits/s speed=3.64x    
frame= 3833 fps= 91 q=25.0 size=    4352KiB time=00:02:33.24 bitrate= 232.7kbits/s speed=3.64x    
frame= 3879 fps= 91 q=25.0 size=    4352KiB time=00:02:35.08 bitrate= 229.9kbits/s speed=3.64x    
frame= 3922 fps= 91 q=25.0 size=    4352KiB time=00:02:36.80 bitrate= 227.4kbits/s speed=3.64x    
frame= 3970 fps= 91 q=25.0 size=    4352KiB time=00:02:38.72 bitrate= 224.6kbits/s speed=3.64x    
frame= 4017 fps= 91 q=25.0 size=    4608KiB time=00:02:40.60 bitrate= 235.1kbits/s speed=3.64x    
frame= 4065 fps= 91 q=25.0 size=    4608KiB time=00:02:42.52 bitrate= 232.3kbits/s speed=3.65x    
frame= 4112 fps= 91 q=25.0 size=    4608KiB time=00:02:44.40 bitrate= 229.6kbits/s speed=3.65x    
frame= 4162 fps= 91 q=25.0 size=    4608KiB time=00:02:46.40 bitrate= 226.9kbits/s speed=3.65x    
frame= 4210 fps= 91 q=25.0 size=    4608KiB time=00:02:48.32 bitrate= 224.3kbits/s speed=3.65x    
frame= 4253 fps= 91 q=25.0 size=    4864KiB time=00:02:50.04 bitrate= 234.3kbits/s speed=3.65x    
